,churches,resorts,beaches,parks,theatres,museums,malls,zoo,restaurants,pubs_bars,local_services,burger_pizza_shops,hotels_lodgings,juice_bars,art_galleries,dance_clubs,swimming_pools,gyms,bakeries,beauty_spas,cafes,view_points,monuments,gardens
churches,1.0000000000000042,0.24899101720512934,0.14880471537569107,0.07069207801355822,0.03545118473322326,-0.09314276008516098,-0.264632274556983,-0.18126699447512004,-0.2902143495798783,-0.2746830656967308,-0.2147479400405011,-0.26120289906196703,-0.17866595265132093,-0.23696643827294267,-0.1349143332625882,0.06728478454253468,0.13009864701746546,0.16036037418523164,0.1802711506668654,0.19939706613284125,0.3092377301466683,0.36437496875094,0.40703295047026006,0.4892798787425203
resorts,0.24899101720512934,1.0000000000000189,0.32501133265692256,0.16733816586593148,0.15351996314839347,0.0539164221508453,-0.05015783395790275,-0.004499635018043333,-0.05054989067104208,-0.09252570307586966,-0.2215364555606923,-0.1570396092495317,-0.21374660519842179,-0.12671279608528271,-0.06667008946953622,-0.03311859706560487,-0.07714580437598838,-0.025446464386097666,0.03252877321888454,0.09697410301124378,0.08899039028806459,0.018365973543404673,0.07761593476133097,0.1252312440037301
beaches,0.14880471537569107,0.32501133265692256,0.9999999999999936,0.3967864406459113,0.32992504056131455,0.16124169086903042,-0.07271307936107263,-0.18630764287589494,-0.21984167816554756,-0.17908959207381553,-0.15750309496854079,-0.2356442176826962,-0.18232205142714772,-0.1626053319819328,-0.13420337847211228,-0.022248723218943358,-0.08464279701775783,-0.1198098829141103,-0.07540193681774536,-0.009201631285666301,0.0011051214499566996,0.13457085347273723,0.11745810362998498,0.08247247573263312
parks,0.07069207801355822,0.16733816586593148,0.3967864406459113,1.0000000000000213,0.6268678120130018,0.3153535406049452,-0.06791421717574525,-0.12806364329237044,-0.16944248255922356,-0.11551513406140437,-0.11709531456402195,-0.1660412473902198,-0.14509342930325994,-0.3081644197457498,-0.27212996188182215,0.01827411675809476,-0.1324678034363172,-0.1838489838486204,-0.19266473831286443,-0.09245349370504051,-0.05622586597111142,0.27672680423694346,0.1735500024704275,0.09050017302665739
theatres,0.03545118473322326,0.15351996314839347,0.32992504056131455,0.6268678120130018,0.9999999999999992,0.48993680121840555,0.07780745157871063,-0.002594647464089667,-0.17043009023273156,-0.10019072314645328,-0.12423798877948561,-0.1048687606893018,-0.09036877961522705,-0.28076697554162144,-0.323902438619121,-0.05634730935347346,-0.18434465619968568,-0.24335683216772658,-0.25698705847268316,-0.19199656815767474,-0.13343346364719214,0.12443081427952951,0.12805464871829617,0.09870625985615941
museums,-0.09314276008516098,0.0539164221508453,0.16124169086903042,0.3153535406049452,0.48993680121840555,1.0000000000000056,0.3827740460318636,0.20052813207688297,0.11471864843728558,-0.019006779632060596,-0.14823819549083997,-0.16383813336561523,-0.1369382525369585,-0.15342732545769344,-0.1875118225204483,-0.14929469085197805,-0.22960433000443498,-0.27135428749086743,-0.266607599252206,-0.22736196508948986,-0.19745398795047855,-0.0904813855382478,-0.08110888925990974,-0.0665396094007188
malls,-0.264632274556983,-0.05015783395790275,-0.07271307936107263,-0.06791421717574525,0.07780745157871063,0.3827740460318636,0.9999999999999668,0.4069591116982452,0.43205438582470684,0.2565633628985688,0.0981245580558947,0.030956229239879302,0.02564305088858727,0.08910125415237942,0.09252658146065736,-0.1428613588062386,-0.20727534523294142,-0.22647468385407796,-0.27297941585375324,-0.23240800184032137,-0.2577281504626073,-0.36028733288104314,-0.22307950847890914,-0.247628413594338
zoo,-0.18126699447512004,-0.004499635018043333,-0.18630764287589494,-0.12806364329237044,-0.002594647464089667,0.20052813207688297,0.4069591116982452,1.0000000000000016,0.5368701971378683,0.5514090123223578,0.2924676649218533,0.0033202358881905124,-0.010413197450355472,-0.021849821100826453,-0.06469220864339091,-0.12441664335788238,-0.2029498143920933,-0.23610626867712822,-0.2810184775693535,-0.2543929266167652,-0.27473333338124495,-0.25551980714956013,-0.16792699365080427,-0.1372324632453964
restaurants,-0.2902143495798783,-0.05054989067104208,-0.21984167816554756,-0.16944248255922356,-0.17043009023273156,0.11471864843728558,0.43205438582470684,0.5368701971378683,1.0000000000000113,0.5640862857417048,0.26207611091344424,-0.012523726076733301,0.019324831096620306,0.03226011677999253,0.12672008525633963,-0.11984417177079093,-0.22958472135397165,-0.2666996398098076,-0.2718811887212553,-0.16403259664497905,-0.1859584204477992,-0.26805310293160833,-0.2683144988153739,-0.3264608762453284
pubs_bars,-0.2746830656967308,-0.09252570307586966,-0.17908959207381553,-0.11551513406140437,-0.10019072314645328,-0.019006779632060596,0.2565633628985688,0.5514090123223578,0.5640862857417048,0.9999999999999887,0.4695363545164727,0.12847795128348513,0.06622178984860541,-0.001802804387619589,0.038084399095556984,-0.031926686279525746,-0.21234557371780832,-0.2738365869992043,-0.32411502234299167,-0.24750222951913828,-0.23038894483916902,-0.1836595672248975,-0.21302956090985378,-0.26356919854479616
