,churches,resorts,beaches,parks,theatres,museums,malls,zoo,restaurants,pubs_bars,local_services,burger_pizza_shops,hotels_lodgings,juice_bars,art_galleries,dance_clubs,swimming_pools,gyms,bakeries,beauty_spas,cafes,view_points,monuments,gardens
churches,0.6849291602547909,0.29291007378417383,0.15367028031602203,0.07659242677021538,0.03928732600912281,-0.0988543014963807,-0.30957016160279655,-0.16672794246312803,-0.3258803583706735,-0.29727000465351017,-0.24555577063470527,-0.27002239103394593,-0.20797796694025494,-0.3092109964156213,-0.19159679747789832,0.06164375686434734,0.10482084020888041,0.1258019914839086,0.17962437981982687,0.19701817948302697,0.23797411699226673,0.48211166626907426,0.443610199442385,0.4744446758737847
resorts,0.29291007378417383,2.0204848635731985,0.5764699412683353,0.3113974551045477,0.2922076269450663,0.09828166518381537,-0.10077667613720359,-0.007108400966586172,-0.0974909934924778,-0.17198341584437876,-0.43508219766632333,-0.27882773075361994,-0.42734608282643105,-0.28398378033013366,-0.16261708228615346,-0.05211336738067532,-0.10675596254075603,-0.034286478062312,0.055668780558609354,0.16456909520980784,0.11762112560512433,0.04173669280248176,0.14528735573110843,0.20856714128661316
beaches,0.15367028031602203,0.5764699412683353,1.557043420383651,0.6481856890722815,0.5512702169106873,0.2580187969819719,-0.12824969917493434,-0.25837343658861767,-0.3722004272090229,-0.2922248100393515,-0.2715424698882622,-0.36728746506675525,-0.31999431411965673,-0.31991190756281046,-0.2873565738003016,-0.030732993191427603,-0.10282350322620966,-0.14171330695224327,-0.11327891641758342,-0.013708183152076017,0.0012822561459931777,0.2684588011247718,0.19301118333216855,0.12057708677502683
parks,0.07659242677021538,0.3113974551045477,0.6481856890722815,1.7138961673859165,1.0989226216430883,0.5294361669323254,-0.1256742809234983,-0.1863309230480794,-0.30097542367437125,-0.19775501970601922,-0.2118020119963122,-0.27152335973010305,-0.2671730819306724,-0.6360921107582432,-0.6113303266461665,0.026483663054960506,-0.16883194242213684,-0.22815033704516555,-0.3036761700133859,-0.14450414033709547,-0.06844517305345524,0.579188272049238,0.2992030419877646,0.13881840704134865
theatres,0.03928732600912281,0.2922076269450663,0.5512702169106873,1.0989226216430883,1.7930722047221883,0.8413226710677335,0.14726974553867825,-0.0038613936338639104,-0.3096432648623367,-0.17543763992113576,-0.22985375941789818,-0.17540581323196197,-0.17020409611699028,-0.5927754025470997,-0.7442527241950266,-0.08352596014848226,-0.24031532691496127,-0.308894417582137,-0.41431090580489255,-0.30694252737675093,-0.16614147728952688,0.26638091732275004,0.22581010099292778,0.15486346723794525
museums,-0.0988543014963807,0.09828166518381537,0.2580187969819719,0.5294361669323254,0.8413226710677335,1.6445507525985736,0.6938403928704864,0.2858023381384886,0.19960625060814827,-0.03187341194685381,-0.26265282118963196,-0.26244456865153715,-0.24700237146904425,-0.3102213018807571,-0.41262888028148187,-0.21194218573183418,-0.2866525058933261,-0.32985870940862466,-0.4116350880974973,-0.3481017160397922,-0.23545285941225316,-0.18550651236052917,-0.1369749722469365,-0.09997911329969826
malls,-0.30957016160279655,-0.10077667613720359,-0.12824969917493434,-0.1256742809234983,0.14726974553867825,0.6938403928704864,1.997960565648428,0.639309357761853,0.828606525195481,0.4742250286904859,0.19163263871827912,0.05465633012101141,0.05098188057245233,0.1985740686461612,0.22442296657402222,-0.22354123051573668,-0.28522864026452094,-0.30344553060430457,-0.464557610148751,-0.3922014929367447,-0.33874253422765854,-0.8141768078365782,-0.41524294422037406,-0.4101090231459208
zoo,-0.16672794246312803,-0.007108400966586172,-0.25837343658861767,-0.1863309230480794,-0.0038613936338639104,0.2858023381384886,0.639309357761853,1.2351896879426716,0.8095666319473381,0.8013773520956585,0.44909993917173563,0.00460929735022086,-0.01627809703358058,-0.038287761436546865,-0.1233747066911091,-0.15307163236396962,-0.21958745000416627,-0.24873790579951663,-0.3760260459545038,-0.3375488011415716,-0.28391778830930764,-0.4540123612615616,-0.24577430026664443,-0.17870186317806847
restaurants,-0.3258803583706735,-0.0974909934924778,-0.3722004272090229,-0.30097542367437125,-0.3096432648623367,0.19960625060814827,0.828606525195481,0.8095666319473381,1.8409116652644546,1.000825568501012,0.4912948596219129,-0.02122506322053809,0.03687948795933664,0.06901248586811322,0.29503209100854494,-0.18000426604234596,-0.30325745501046963,-0.3430098022073431,-0.44413178741825293,-0.2657121076872626,-0.23461012046039176,-0.5814516289368359,-0.47941292963489585,-0.5189828540094779
pubs_bars,-0.29727000465351017,-0.17198341584437876,-0.2922248100393515,-0.19775501970601922,-0.17543763992113576,-0.03187341194685381,0.4742250286904859,0.8013773520956585,1.000825568501012,1.70998677609863,0.8483282109689778,0.20985723007289706,0.12180075816598619,-0.0037169801642873645,0.08545762314833981,-0.04621677373659725,-0.2703283645079307,-0.3394341049166602,-0.5102837743393696,-0.3864027432357787,-0.2801382625137419,-0.38396020096779565,-0.366847340386285,-0.4038279972099101
local_services,-0.24555577063470527,-0.43508219766632333,-0.2715424698882622,-0.2118020119963122,-0.22985375941789818,-0.26265282118963196,0.19163263871827912,0.44909993917173563,0.4912948596219129,0.8483282109689778,1.9089590833559573,0.5553191511056875,0.4996536717773518,0.12480210184097541,-0.06386631767245204,-0.002030909628498687,-0.06363350469450126,-0.14613176838758057,-0.3121782937577782,-0.48339406101910876,-0.42715179349301524,-0.2142305080625001,-0.2325960693194922,-0.2839916821985265
burger_pizza_shops,-0.27002239103394593,-0.27882773075361994,-0.36728746506675525,-0.27152335973010305,-0.17540581323196197,-0.26244456865153715,0.05465633012101141,0.00460929735022086,-0.02122506322053809,0.20985723007289706,0.5553191511056875,1.5602633789623712,0.8263309958545125,0.6977390541850005,0.32174154186747855,-0.06537043711411147,0.0334944391629999,0.07404097359158242,0.0299838342806111,-0.19537371668288395,-0.3293910054236073,-0.637045559143593,-0.3463590403185487,-0.2663568037878564
hotels_lodgings,-0.20797796694025494,-0.42734608282643105,-0.31999431411965673,-0.2671730819306724,-0.17020409611699028,-0.24700237146904425,0.05098188057245233,-0.01627809703358058,0.03687948795933664,0.12180075816598619,0.4996536717773518,0.8263309958545125,1.9783603617406893,1.1360081020331634,0.4773271241979835,-0.07562924172985583,0.03320252510207484,0.10041008530539122,0.1069146795058744,-0.09701280466211153,-0.2699079994375468,-0.44619870729522526,-0.2913325582243147,-0.21406638696775274
juice_bars,-0.3092109964156213,-0.28398378033013366,-0.31991190756281046,-0.6360921107582432,-0.5927754025470997,-0.3102213018807571,0.1985740686461612,-0.038287761436546865,0.06901248586811322,-0.0037169801642873645,0.12480210184097541,0.6977390541850005,1.1360081020331634,2.485939312785762,1.003808525915852,-0.011017133410925355,0.11651736888189423,0.15482987257110298,0.22610811865812255,0.06274980092384776,-0.14800218822490596,-0.7370364296994071,-0.6038426271668221,-0.3863188086476662
art_galleries,-0.19159679747789832,-0.16261708228615346,-0.2873565738003016,-0.6113303266461665,-0.7442527241950266,-0.41262888028148187,0.22442296657402222,-0.1233747066911091,0.29503209100854494,0.08545762314833981,-0.06386631767245204,0.32174154186747855,0.4773271241979835,1.003808525915852,2.9445209729162336,0.1887022678217675,0.10455341718163258,0.1275347642736761,0.13469323001981015,0.1459523073682032,0.09523159730640725,-0.4916569674906124,-0.3699681430915704,-0.42356725229886755
dance_clubs,0.06164375686434734,-0.05211336738067532,-0.030732993191427603,0.026483663054960506,-0.08352596014848226,-0.21194218573183418,-0.22354123051573668,-0.15307163236396962,-0.18000426604234596,-0.04621677373659725,-0.002030909628498687,-0.06537043711411147,-0.07562924172985583,-0.011017133410925355,0.1887022678217675,1.2254590663681248,0.4000861746198567,0.22779219363440134,0.02644183035822287,0.08213433689665646,0.15972522480653492,0.17536575513868471,0.07409735863409238,0.036123303004319554
swimming_pools,0.10482084020888041,-0.10675596254075603,-0.10282350322620966,-0.16883194242213684,-0.24031532691496127,-0.2866525058933261,-0.28522864026452094,-0.21958745000416627,-0.30325745501046963,-0.2703283645079307,-0.06363350469450126,0.0334944391629999,0.03320252510207484,0.11651736888189423,0.10455341718163258,0.4000861746198567,0.9477723981301291,0.4741414665948537,0.32735906119046543,0.09657237597471718,0.14957273943233226,0.1661409781946934,0.16804515536003717,0.16792813386518862
gyms,0.1258019914839086,-0.034286478062312,-0.14171330695224327,-0.22815033704516555,-0.308894417582137,-0.32985870940862466,-0.30344553060430457,-0.24873790579951663,-0.3430098022073431,-0.3394341049166602,-0.14613176838758057,0.07404097359158242,0.10041008530539122,0.15482987257110298,0.1275347642736761,0.22779219363440134,0.4741414665948537,0.8985355287832199,0.4856494566951409,0.23040978159414147,0.16941375227803593,0.13627149906526603,0.17552180717131102,0.18366878278960624
bakeries,0.17962437981982687,0.055668780558609354,-0.11327891641758342,-0.3036761700133859,-0.41431090580489255,-0.4116350880974973,-0.464557610148751,-0.3760260459545038,-0.44413178741825293,-0.5102837743393696,-0.3121782937577782,0.0299838342806111,0.1069146795058744,0.22610811865812255,0.13469323001981015,0.02644183035822287,0.32735906119046543,0.4856494566951409,1.4495474803947799,0.4617805634510295,0.21657133139106696,0.13489583008875616,0.14201345500442164,0.18260874053506293
beauty_spas,0.19701817948302697,0.16456909520980784,-0.013708183152076017,-0.14450414033709547,-0.30694252737675093,-0.3481017160397922,-0.3922014929367447,-0.3375488011415716,-0.2657121076872626,-0.3864027432357787,-0.48339406101910876,-0.19537371668288395,-0.09701280466211153,0.06274980092384776,0.1459523073682032,0.08213433689665646,0.09657237597471718,0.23040978159414147,0.4617805634510295,1.4253759252286768,0.3383405908949792,0.36318883419997267,0.22969157344750835,0.166204792423212
cafes,0.23797411699226673,0.11762112560512433,0.0012822561459931777,-0.06844517305345524,-0.16614147728952688,-0.23545285941225316,-0.33874253422765854,-0.28391778830930764,-0.23461012046039176,-0.2801382625137419,-0.42715179349301524,-0.3293910054236073,-0.2699079994375468,-0.14800218822490596,0.09523159730640725,0.15972522480653492,0.14957273943233226,0.16941375227803593,0.21657133139106696,0.3383405908949792,0.8646270892983375,0.557223170632958,0.4273442910637822,0.3279945892949781
view_points,0.48211166626907426,0.04173669280248176,0.2684588011247718,0.579188272049238,0.26638091732275004,-0.18550651236052917,-0.8141768078365782,-0.4540123612615616,-0.5814516289368359,-0.38396020096779565,-0.2142305080625001,-0.637045559143593,-0.44619870729522526,-0.7370364296994071,-0.4916569674906124,0.17536575513868471,0.1661409781946934,0.13627149906526603,0.13489583008875616,0.36318883419997267,0.557223170632958,2.555951187263291,0.9928471569943099,0.5924405805161396
