dataset,family,algorithm,params,clusters_found,noise_points,silhouette,davies_bouldin,nmi,adjusted_rand,purity
breast_cancer,density,OPTICS,"{""min_cluster_size"": 0.03, ""min_samples"": 5, ""xi"": 0.03}",1,551,,,0.08020396989804378,0.04667363215790398,0.6590509666080844
breast_cancer,density,OPTICS,"{""min_cluster_size"": 0.05, ""min_samples"": 5, ""xi"": 0.03}",1,26,,,0.0136806654606482,0.02350008579262178,0.6379613356766256
breast_cancer,density,OPTICS,"{""min_cluster_size"": 0.1, ""min_samples"": 5, ""xi"": 0.03}",1,26,,,0.0136806654606482,0.02350008579262178,0.6379613356766256
breast_cancer,density,OPTICS,"{""min_cluster_size"": 0.03, ""min_samples"": 5, ""xi"": 0.05}",1,26,,,0.0136806654606482,0.02350008579262178,0.6379613356766256
breast_cancer,density,OPTICS,"{""min_cluster_size"": 0.05, ""min_samples"": 5, ""xi"": 0.05}",1,26,,,0.0136806654606482,0.02350008579262178,0.6379613356766256
breast_cancer,density,OPTICS,"{""min_cluster_size"": 0.1, ""min_samples"": 5, ""xi"": 0.05}",1,26,,,0.0136806654606482,0.02350008579262178,0.6379613356766256
breast_cancer,density,OPTICS,"{""min_cluster_size"": 0.03, ""min_samples"": 5, ""xi"": 0.1}",1,0,,,0.0,0.0,0.6274165202108963
breast_cancer,density,OPTICS,"{""min_cluster_size"": 0.05, ""min_samples"": 5, ""xi"": 0.1}",1,0,,,0.0,0.0,0.6274165202108963
breast_cancer,density,OPTICS,"{""min_cluster_size"": 0.1, ""min_samples"": 5, ""xi"": 0.1}",1,0,,,0.0,0.0,0.6274165202108963
breast_cancer,density,OPTICS,"{""min_cluster_size"": 0.03, ""min_samples"": 10, ""xi"": 0.03}",1,0,,,0.0,0.0,0.6274165202108963
breast_cancer,density,OPTICS,"{""min_cluster_size"": 0.05, ""min_samples"": 10, ""xi"": 0.03}",1,0,,,0.0,0.0,0.6274165202108963
breast_cancer,density,OPTICS,"{""min_cluster_size"": 0.1, ""min_samples"": 10, ""xi"": 0.03}",1,0,,,0.0,0.0,0.6274165202108963
breast_cancer,density,OPTICS,"{""min_cluster_size"": 0.03, ""min_samples"": 10, ""xi"": 0.05}",1,0,,,0.0,0.0,0.6274165202108963
breast_cancer,density,OPTICS,"{""min_cluster_size"": 0.05, ""min_samples"": 10, ""xi"": 0.05}",1,0,,,0.0,0.0,0.6274165202108963
breast_cancer,density,OPTICS,"{""min_cluster_size"": 0.1, ""min_samples"": 10, ""xi"": 0.05}",1,0,,,0.0,0.0,0.6274165202108963
breast_cancer,density,OPTICS,"{""min_cluster_size"": 0.03, ""min_samples"": 10, ""xi"": 0.1}",1,0,,,0.0,0.0,0.6274165202108963
breast_cancer,density,OPTICS,"{""min_cluster_size"": 0.05, ""min_samples"": 10, ""xi"": 0.1}",1,0,,,0.0,0.0,0.6274165202108963
breast_cancer,density,OPTICS,"{""min_cluster_size"": 0.1, ""min_samples"": 10, ""xi"": 0.1}",1,0,,,0.0,0.0,0.6274165202108963
breast_cancer,density,OPTICS,"{""min_cluster_size"": 0.03, ""min_samples"": 20, ""xi"": 0.03}",1,0,,,0.0,0.0,0.6274165202108963
breast_cancer,density,OPTICS,"{""min_cluster_size"": 0.05, ""min_samples"": 20, ""xi"": 0.03}",1,0,,,0.0,0.0,0.6274165202108963
breast_cancer,density,OPTICS,"{""min_cluster_size"": 0.1, ""min_samples"": 20, ""xi"": 0.03}",1,0,,,0.0,0.0,0.6274165202108963
breast_cancer,density,OPTICS,"{""min_cluster_size"": 0.03, ""min_samples"": 20, ""xi"": 0.05}",1,0,,,0.0,0.0,0.6274165202108963
breast_cancer,density,OPTICS,"{""min_cluster_size"": 0.05, ""min_samples"": 20, ""xi"": 0.05}",1,0,,,0.0,0.0,0.6274165202108963
breast_cancer,density,OPTICS,"{""min_cluster_size"": 0.1, ""min_samples"": 20, ""xi"": 0.05}",1,0,,,0.0,0.0,0.6274165202108963
breast_cancer,density,OPTICS,"{""min_cluster_size"": 0.03, ""min_samples"": 20, ""xi"": 0.1}",1,0,,,0.0,0.0,0.6274165202108963
breast_cancer,density,OPTICS,"{""min_cluster_size"": 0.05, ""min_samples"": 20, ""xi"": 0.1}",1,0,,,0.0,0.0,0.6274165202108963
breast_cancer,density,OPTICS,"{""min_cluster_size"": 0.1, ""min_samples"": 20, ""xi"": 0.1}",1,0,,,0.0,0.0,0.6274165202108963
iris,density,OPTICS,"{""min_cluster_size"": 0.03, ""min_samples"": 5, ""xi"": 0.03}",9,95,0.3823929524562262,0.852659668279567,0.32630409445913144,0.05833553527640449,0.6333333333333333
