dataset,family,algorithm,params,clusters_found,noise_points,silhouette,davies_bouldin,nmi,adjusted_rand,purity
breast_cancer,hierarchical,single,"{""linkage"": ""single"", ""n_clusters"": 2}",2,0,0.6606668813897673,0.4497088717504179,0.010182219220269649,0.0048283446965917305,0.6309314586994728
breast_cancer,hierarchical,complete,"{""linkage"": ""complete"", ""n_clusters"": 2}",2,0,0.6606668813897673,0.4497088717504179,0.010182219220269649,0.0048283446965917305,0.6309314586994728
breast_cancer,hierarchical,group_average,"{""linkage"": ""average"", ""n_clusters"": 2}",2,0,0.6339782218419878,0.6798598575139453,0.015085831621179303,0.0072761828173037914,0.632688927943761
breast_cancer,hierarchical,minimum_variance,"{""linkage"": ""ward"", ""n_clusters"": 2}",2,0,0.33938477753669855,1.3699635418941032,0.45691492004987283,0.5750409366326297,0.8804920913884007
iris,hierarchical,single,"{""linkage"": ""single"", ""n_clusters"": 3}",3,0,0.504645610832545,0.49292522768291486,0.7201176036115982,0.5583714437541352,0.6666666666666666
iris,hierarchical,complete,"{""linkage"": ""complete"", ""n_clusters"": 3}",3,0,0.44961848359884726,0.7583583251269741,0.6530481596015469,0.5726305793711641,0.7866666666666666
iris,hierarchical,group_average,"{""linkage"": ""average"", ""n_clusters"": 3}",3,0,0.4802669329728697,0.5752687144265147,0.7130987813117573,0.5621364251426576,0.6866666666666666
iris,hierarchical,minimum_variance,"{""linkage"": ""ward"", ""n_clusters"": 3}",3,0,0.446689041028591,0.8034665302876753,0.6754701853436886,0.6153229932145449,0.8266666666666667
wine,hierarchical,single,"{""linkage"": ""single"", ""n_clusters"": 3}",3,0,0.18273797160972802,0.9105181111836435,0.034894915538545984,-0.0068141888967124505,0.398876404494382
wine,hierarchical,complete,"{""linkage"": ""complete"", ""n_clusters"": 3}",3,0,0.20378689690677748,1.8960960515907337,0.614377706410346,0.5771435822032458,0.8370786516853933
wine,hierarchical,group_average,"{""linkage"": ""average"", ""n_clusters"": 3}",3,0,0.15752526243774143,1.0298902169850324,0.018440033486976225,-0.005441973296580639,0.398876404494382
wine,hierarchical,minimum_variance,"{""linkage"": ""ward"", ""n_clusters"": 3}",3,0,0.2774439826952266,1.4185919431857326,0.7864652657004839,0.7899332213582837,0.9269662921348315
