dataset,family,algorithm,params,clusters_found,noise_points,silhouette,davies_bouldin,nmi,adjusted_rand,purity
breast_cancer,prototype,KMeans_baseline,"{""n_clusters"": 2}",2,0,0.3449740051034408,1.3123202103574443,0.554612218410556,0.6707206476880808,0.9103690685413005
breast_cancer,prototype,KMedoids,"{""n_clusters"": 2}",2,0,0.3491337093300296,1.324375102827032,0.49107103300196786,0.607897053014855,0.8910369068541301
breast_cancer,prototype,KMedoids,"{""n_clusters"": 3}",3,0,0.16438701414027074,1.7438283567259927,0.43010593706360345,0.40102840649886407,0.9050966608084359
breast_cancer,prototype,KMedoids,"{""n_clusters"": 4}",4,0,0.19835427134926897,1.8416551517242716,0.4454633401554906,0.41977195928828814,0.9279437609841827
breast_cancer,prototype,KMedoids,"{""n_clusters"": 5}",5,0,0.10644038444753388,2.0695620771653562,0.3531802150281151,0.23678204147435006,0.9103690685413005
breast_cancer,prototype,PCA_KMeans,"{""n_clusters"": 2, ""pca_components"": 2}",2,0,0.34535008214161556,1.3186490353903926,0.5403814627831327,0.6592305570949524,0.9068541300527241
breast_cancer,prototype,PCA_KMeans,"{""n_clusters"": 3, ""pca_components"": 2}",3,0,0.3129683566676365,1.5575803166524647,0.44699257222521965,0.5339418861851445,0.8734622144112478
breast_cancer,prototype,PCA_KMeans,"{""n_clusters"": 4, ""pca_components"": 2}",4,0,0.2747307306197944,1.5277790880528026,0.4538051865360764,0.5367373988730999,0.8857644991212654
breast_cancer,prototype,PCA_KMeans,"{""n_clusters"": 5, ""pca_components"": 2}",5,0,0.16191833359118626,1.7879932287970237,0.3959289281370015,0.34282302816396737,0.9173989455184535
breast_cancer,prototype,PCA_KMeans,"{""n_clusters"": 2, ""pca_components"": 3}",2,0,0.3449740051034408,1.3123202103574443,0.554612218410556,0.6707206476880808,0.9103690685413005
breast_cancer,prototype,PCA_KMeans,"{""n_clusters"": 3, ""pca_components"": 3}",3,0,0.31385969218131,1.5308986792903363,0.4233482252056659,0.5116895428505235,0.8699472759226714
breast_cancer,prototype,PCA_KMeans,"{""n_clusters"": 4, ""pca_components"": 3}",4,0,0.2794483027741447,1.5045213174111516,0.47731581175243365,0.5725704900235835,0.9015817223198594
